
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 18 13:22:17 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd_clean.Rev")
   Processing file "scripts/combined_evidence_fbd_clean.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho_clean.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   WARNING: There are 18 characters incompatible with the specified coding bias. These characters will be excluded.
   Could not compute lnProb for node fbd_tree.
   (((((Canis_arnensis[&index=23]:11.734823,Canis_latr...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Urocyon_cinereoargenteus[&index=23]:23.310167,((Ur...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (((Canis_mosbachensis[&index=23]:2.209081,Lycaon_pi...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Urocyon_cinereoargenteus[&index=23]:23.310167,((Ur...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((((((Canis_variabilis[&index=23]:4.165806,Lycaon_p...

   Drawing new initial states ...

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 296 different moves in a random move schedule with 346.767 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |   -3.86539e+06   |    -3.8653e+06   |        -86.909   |       20.51133   |       20.51133   |       23.48167   |   00:00:00   |   --:--:--   |
1000        |   -2.54572e+06   |   -2.54585e+06   |        124.605   |       17.31044   |       17.31044   |       29.10348   |   00:09:54   |   --:--:--   |
2000        |    -2.5457e+06   |   -2.54584e+06   |        132.153   |        17.0704   |        17.0704   |       28.26924   |   00:19:34   |   48:35:26   |
3000        |   -2.54573e+06   |   -2.54584e+06   |        106.434   |        17.0472   |        17.0472   |       26.83377   |   00:29:11   |   48:09:09   |
4000        |   -2.54572e+06   |   -2.54584e+06   |        122.012   |       17.05314   |       17.05314   |       29.60296   |   00:38:31   |   47:30:14   |
5000        |   -2.54573e+06   |   -2.54586e+06   |        134.564   |       17.14421   |       17.14421   |       28.99755   |   00:48:07   |   47:18:53   |
6000        |   -2.54573e+06   |   -2.54584e+06   |        114.576   |       16.90502   |       16.90502   |       27.57227   |   00:57:50   |   47:13:50   |
7000        |   -2.54573e+06   |   -2.54584e+06   |        113.068   |       17.35541   |       17.35541   |       26.62679   |   01:07:52   |   47:20:42   |
8000        |   -2.54571e+06   |   -2.54585e+06   |        135.584   |       17.57204   |       17.57204   |       23.13949   |   01:17:43   |   47:16:39   |
9000        |   -2.54569e+06   |   -2.54584e+06   |        145.518   |       17.64763   |       17.64763   |       23.81735   |   01:27:20   |   47:03:46   |
10000       |   -2.54574e+06   |   -2.54585e+06   |        112.362   |       17.57678   |       17.57678   |       25.20811   |   01:36:56   |   46:51:04   |
11000       |   -2.54572e+06   |   -2.54585e+06   |        131.069   |       17.77091   |       17.77091   |       24.40552   |   01:46:23   |   46:34:58   |
12000       |   -2.54571e+06   |   -2.54585e+06   |        135.457   |       17.63942   |       17.63942   |       26.69593   |   01:55:55   |   46:22:00   |
13000       |   -2.54571e+06   |   -2.54584e+06   |        137.806   |         18.151   |         18.151   |       29.42185   |   02:05:24   |   46:08:26   |
14000       |   -2.54574e+06   |   -2.54585e+06   |        105.512   |       18.40514   |       18.40514   |        25.5098   |   02:14:55   |   45:56:09   |
15000       |   -2.54574e+06   |   -2.54585e+06   |        113.613   |       18.15306   |       18.15306   |       26.02567   |   02:24:41   |   45:48:59   |
16000       |   -2.54573e+06   |   -2.54584e+06   |        119.287   |       18.25602   |       18.25602   |       26.31357   |   02:34:29   |   45:42:04   |
17000       |   -2.54571e+06   |   -2.54584e+06   |        135.303   |       18.63343   |       18.63343   |       25.53812   |   02:44:01   |   45:30:23   |
18000       |    -2.5457e+06   |   -2.54584e+06   |        135.735   |       18.09429   |       18.09429   |       25.64274   |   02:53:25   |   45:16:51   |
19000       |   -2.54572e+06   |   -2.54584e+06   |        120.124   |       17.70596   |       17.70596   |       25.00877   |   03:02:43   |   45:02:16   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
20000       |   -2.54571e+06   |   -2.54585e+06   |        135.694   |       17.72617   |       17.72617   |       29.41626   |   03:11:51   |   44:45:54   |
21000       |   -2.54573e+06   |   -2.54584e+06   |        116.191   |       17.73773   |       17.73773   |       26.30084   |   03:21:07   |   44:31:58   |
22000       |   -2.54571e+06   |   -2.54584e+06   |        131.312   |       17.65516   |       17.65516   |       27.88372   |   03:30:28   |   44:19:32   |
23000       |   -2.54571e+06   |   -2.54584e+06   |        132.784   |       17.63453   |       17.63453   |       27.28224   |   03:39:45   |   44:06:33   |
24000       |    -2.5457e+06   |   -2.54583e+06   |        126.362   |       17.60027   |       17.60027   |        25.1049   |   03:49:08   |   43:55:02   |
25000       |    -2.5457e+06   |   -2.54584e+06   |        139.681   |       17.50923   |       17.50923   |       29.18434   |   03:58:28   |   43:43:08   |
26000       |   -2.54572e+06   |   -2.54584e+06   |        121.885   |       17.49932   |       17.49932   |       23.63812   |   04:07:56   |   43:32:50   |
27000       |    -2.5457e+06   |   -2.54584e+06   |        138.741   |       17.35957   |       17.35957   |       27.13778   |   04:17:18   |   43:21:35   |
28000       |    -2.5457e+06   |   -2.54582e+06   |        118.569   |       17.75395   |       17.75395   |        29.6531   |   04:27:01   |   43:13:52   |
29000       |   -2.54571e+06   |   -2.54583e+06   |        118.162   |       17.77432   |       17.77432   |       23.91631   |   04:36:54   |   43:07:34   |
30000       |   -2.54571e+06   |   -2.54583e+06   |        128.873   |       17.38435   |       17.38435   |       23.87653   |   04:46:25   |   42:57:45   |
31000       |    -2.5457e+06   |   -2.54583e+06   |        129.441   |       16.73003   |       16.73003   |       24.60455   |   04:55:52   |   42:47:21   |
32000       |   -2.54573e+06   |   -2.54584e+06   |        110.068   |       15.65815   |       15.65815   |       29.14346   |   05:05:04   |   42:34:56   |
33000       |   -2.54574e+06   |   -2.54584e+06   |         98.087   |       15.66126   |       15.66126   |       23.74913   |   05:14:18   |   42:22:58   |
34000       |   -2.54572e+06   |   -2.54584e+06   |        111.605   |       15.50464   |       15.50464   |       27.63278   |   05:23:34   |   42:11:26   |
35000       |   -2.54572e+06   |   -2.54584e+06   |         123.49   |       15.49854   |       15.49854   |       26.31664   |   05:32:32   |   41:57:45   |
36000       |    -2.5457e+06   |   -2.54583e+06   |        129.071   |       15.50414   |       15.50414   |       29.11002   |   05:41:52   |   41:47:01   |
37000       |   -2.54571e+06   |   -2.54583e+06   |        120.217   |       15.47746   |       15.47746   |       28.52861   |   05:51:09   |   41:36:00   |
38000       |   -2.54571e+06   |   -2.54582e+06   |        110.566   |       15.81921   |       15.81921   |       26.61621   |   06:00:26   |   41:25:05   |
