Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-390.1358	-342.0743	-48.06152	1	1	0.0243116	0.044269	0.0218395	0.00260021	0.0195148	0.0206113	0.0347083	0.00809087	0.0300507	0.430907	0.00816589	0.11506	0.014772	0.131348	0.136649	0.0637954	0.0378015	0.125	0.375	0.625	0.875	1	1	1	28077.81	1	40270.61	0.368119	0.378019	0.247722	0.00613938	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	1.144494
10	-301.1291	-279.1384	-21.99074	1e+08	0	0.0143429	0.107503	0.0160934	0.0317581	0.0189301	0.0610526	0.0283536	0.0119131	0.0254961	0.689698	0.00904452	0.0984144	0.0070456	0.120949	0.0890593	0.114723	0.0385955	0.498242	0.49956	0.500347	0.501851	0	62000	18009.48	18009.48	1	5640.847	0.223219	0.139405	0.0573072	0.580069	0.498121	0.499616	0.500433	0.50183	1	58729.66	2	0.999873	0.999968	1.00003	1.00013	1.482971
20	-321.7185	-273.2411	-48.47737	9.840355e+07	1	0.028372	0.0545032	0.0192718	0.0410582	0.0654456	0.135604	0.0107302	0.00555864	0.0290237	0.281154	0.0320356	0.11734	0.00576979	0.0929426	0.0857751	0.125036	0.0564583	0.495877	0.498977	0.501024	0.504122	1	11883.04	1	55850.99	1	10338.25	0.117896	0.36583	0.219741	0.296533	0.49735	0.499394	0.500646	0.502611	1	29190.59	3	0.999872	0.999968	1.00003	1.00013	1.186079
30	-271.6645	-251.6384	-20.02603	1e+08	0	0.0462642	0.0269097	0.0276222	0.109504	0.0223526	0.0952026	0.00805316	0.0042653	0.0189188	0.0521029	0.10662	0.120559	0.0186374	0.177704	0.217704	0.128066	0.106015	0.498242	0.49956	0.500347	0.501851	0	62000	10764.47	10764.47	1	18903.24	0.273362	0.602019	0.0899638	0.0346551	0.498145	0.499597	0.500412	0.501846	1	58980.98	2	0.999873	0.999968	1.00003	1.00013	1.286501
40	-247.0241	-229.8501	-17.174	1e+08	0	0.132003	0.00577686	0.00903024	0.148312	0.0726245	0.0324415	0.0161949	0.0183504	0.0320018	0.0311731	0.177678	0.0377355	0.00885227	0.11444	0.0600534	0.0488309	0.0558	0.498242	0.49956	0.500347	0.501851	0	62000	57960.56	57960.56	1	32798.52	0.286543	0.107273	0.416125	0.19006	0.495522	0.49889	0.501121	0.504467	1	10096.21	3	0.999873	0.999968	1.00003	1.00013	1.001298
50	-273.3621	-226.6936	-46.66853	1.171723e+07	1	0.121089	0.010226	0.0121512	0.281377	0.0482264	0.0114268	0.0186424	0.0371711	0.0142296	0.0204702	0.121137	0.0476233	0.00255269	0.140108	0.0581546	0.0476564	0.012952	0.498164	0.499616	0.500414	0.501806	1	60890.77	1	23940.22	1	11501.84	0.25624	0.276632	0.437041	0.0300879	0.496654	0.499204	0.500832	0.50331	1	18233.79	3	0.999629	0.999905	1.00009	1.00037	1.005195
60	-269.5647	-225.1068	-44.45783	5.474411e+07	1	0.0947367	0.00864352	0.0065346	0.133756	0.0461343	0.0112074	0.0147478	0.0238643	0.0115477	0.0128021	0.178171	0.0345317	0.00154403	0.081979	0.0192663	0.0907927	0.0138653	0.497769	0.499495	0.500522	0.502215	1	40872.14	1	18163.25	1	27575.19	0.306334	0.167363	0.112088	0.414215	0.49816	0.499558	0.500384	0.501898	1	57814.97	3	0.999828	0.999956	1.00004	1.00017	0.7841243
70	-262.7465	-229.0883	-33.65826	9.879198e+07	1	0.181873	0.0227425	0.028996	0.153344	0.0141702	0.0160521	0.0278748	0.0232422	0.00876953	0.0166493	0.17263	0.0163306	0.00279842	0.0308674	0.0229221	0.061623	0.00677001	0.498242	0.49956	0.500347	0.501851	0	62000	45157.25	45157.25	1	14688.81	0.174268	0.311497	0.394234	0.120001	0.495299	0.498838	0.501183	0.50468	1	9180.121	3	0.999872	0.999967	1.00003	1.00013	0.8076555
80	-242.1969	-228.1347	-14.06217	1e+08	0	0.237184	0.0163125	0.00188971	0.0662663	0.0179253	0.0238251	0.0170909	0.0140163	0.00457236	0.0362782	0.0875383	0.0325604	0.00514897	0.0602968	0.0186662	0.0495201	0.00102354	0.498242	0.49956	0.500347	0.501851	0	62000	34750.71	34750.71	1	41808.82	0.146928	0.024646	0.500507	0.327919	0.48628	0.496503	0.503496	0.513722	1	1072.428	2	0.999873	0.999968	1.00003	1.00013	0.6901152
90	-270.6337	-224.0904	-46.54329	2.328005e+07	1	0.173429	0.0234408	0.00242679	0.162945	0.0103319	0.0282406	0.0318839	0.0140103	0.0195044	0.021906	0.24087	0.0439319	0.00304073	0.105784	0.0273798	0.0825422	0.00100279	0.49749	0.499428	0.500605	0.502476	1	32498.63	1	14111.97	1	43429.31	0.626185	0.014	0.0559028	0.303913	0.497902	0.499473	0.500451	0.502175	1	44248.13	3	0.999737	0.999933	1.00007	1.00026	0.9926705
100	-268.3055	-223.0487	-45.25676	3.943413e+07	1	0.147637	0.0401591	0.00334173	0.140955	0.016457	0.00733113	0.0190638	0.0127559	0.0291495	0.0135095	0.134241	0.0604289	0.00249506	0.16632	0.0306162	0.0386454	0.000910437	0.495313	0.498832	0.501173	0.504682	1	9202.688	1	7880.398	1	2669.554	0.411266	0.0581316	0.457282	0.0733206	0.49349	0.498361	0.501648	0.506501	1	4771.284	3	0.999798	0.999948	1.00005	1.0002	0.8640171
110	-243.4661	-225.7842	-17.68187	1e+08	0	0.152075	0.0272141	0.00135993	0.151611	0.0325421	0.0239659	0.0191505	0.00915323	0.0313181	0.0179932	0.172583	0.034556	0.00544281	0.320625	0.00461442	0.0444993	0.00338004	0.498242	0.49956	0.500347	0.501851	0	62000	51748.79	51748.79	1	11216.52	0.674696	0.180356	0.114373	0.0305745	0.497887	0.49956	0.500507	0.502046	1	46705.63	3	0.999873	0.999968	1.00003	1.00013	1.052084
120	-268.1121	-222.7286	-45.38359	4.032093e+07	1	0.12781	0.0152309	0.000529557	0.156143	0.032672	0.0121512	0.0562806	0.00878525	0.0410436	0.00825896	0.267382	0.0248644	0.00910924	0.086082	0.00556212	0.0190049	0.00579032	0.497825	0.499549	0.500528	0.502098	1	44245.34	1	53694.52	1	33362.11	0.244271	0.309052	0.440001	0.00667669	0.496927	0.499239	0.500737	0.503098	1	21217.18	3	0.9998	0.999949	1.00005	1.0002	0.8767005
130	-251.862	-224.7788	-27.08323	1e+08	0	0.171031	0.041847	0.000602878	0.130685	0.0280241	0.0422113	0.0367816	0.00504732	0.0467637	0.0112126	0.109111	0.0519672	0.00728032	0.0848772	0.00549013	0.109995	0.00580448	0.497977	0.499528	0.500448	0.502047	1	48759.22	1	56745.05	1	21859.31	0.18635	0.377497	0.384691	0.0514626	0.498107	0.499646	0.500456	0.501791	1	59512.84	2	0.999873	0.999968	1.00003	1.00013	0.8887322
140	-257.8777	-230.5807	-27.29695	1e+08	0	0.128428	0.0129253	0.000130016	0.188878	0.049077	0.0371142	0.0218616	0.00927244	0.056314	0.0345064	0.159658	0.0433596	0.0041368	0.0631251	0.0168481	0.0810408	0.00343002	0.498078	0.499545	0.500413	0.501964	1	53489.37	1	61381.31	1	42301.12	0.0999579	0.0376177	0.52356	0.338865	0.497276	0.499305	0.500626	0.502793	1	26545.38	3	0.999873	0.999968	1.00003	1.00013	0.9101045
150	-260.1434	-223.4642	-36.67915	8.438516e+07	1	0.174209	0.024744	7.24711e-05	0.323998	0.0899768	0.0260571	0.0518693	0.0192262	0.0402712	0.0113067	0.151694	0.049345	0.00576216	0.0928254	0.0054863	0.0384575	0.00444394	0.498242	0.49956	0.500347	0.501851	0	62000	23060.25	23060.25	1	20232.57	0.636758	0.137118	0.0827136	0.14341	0.496595	0.499163	0.500833	0.50341	1	17391.02	3	0.999862	0.999965	1.00003	1.00014	1.109745
160	-251.514	-234.093	-17.42097	1e+08	0	0.143501	0.0340952	2.20317e-05	0.262476	0.0571136	0.0601744	0.0714134	0.0503115	0.0449065	0.00619511	0.123228	0.0405968	0.0103005	0.0572359	0.00584264	0.046767	0.0118165	0.498242	0.49956	0.500347	0.501851	0	62000	15425.51	15425.51	1	48419.7	0.0558157	0.014979	0.304904	0.624302	0.497899	0.499572	0.500508	0.502022	1	47524.85	3	0.999873	0.999968	1.00003	1.00013	1.025995
170	-260.2761	-231.2656	-29.01049	1e+08	0	0.153945	0.052223	5.18402e-06	0.180506	0.0659874	0.0694416	0.088923	0.0444779	0.0190412	0.00258885	0.246657	0.0254944	0.0100623	0.0753536	0.00887947	0.0353047	0.00256848	0.49792	0.499537	0.500479	0.502064	1	47024.62	1	15338.9	1	43575.22	0.151205	0.337988	0.156177	0.354629	0.494695	0.498665	0.501331	0.50531	1	7169.69	2	0.999873	0.999968	1.00003	1.00013	1.081459
180	-258.6259	-230.6413	-27.98465	1e+08	0	0.142976	0.0344891	3.82581e-06	0.173169	0.021697	0.0586009	0.0757569	0.0422292	0.0387629	0.0120418	0.145389	0.0309925	0.0113728	0.15036	0.0199071	0.0190196	0.00210663	0.49757	0.499454	0.500585	0.502391	1	34766.68	1	24004.95	1	60849.72	0.195244	0.175705	0.388787	0.240265	0.49779	0.499457	0.500491	0.502263	1	40374.44	3	0.999873	0.999968	1.00003	1.00013	0.9788745
190	-247.5501	-229.9862	-17.56391	1e+08	0	0.13135	0.0179477	2.33399e-06	0.254636	0.0294134	0.0313224	0.0700293	0.0122427	0.033442	0.0397195	0.272554	0.0153301	0.0162512	0.0603181	0.0281421	0.0220011	0.00558703	0.498242	0.49956	0.500347	0.501851	0	62000	23622.78	23622.78	1	40116.95	0.0374019	0.323772	0.502107	0.136718	0.497781	0.499466	0.5005	0.502252	1	40408.67	2	0.999873	0.999968	1.00003	1.00013	1.040289
200	-256.8215	-229.068	-27.7535	1e+08	0	0.114756	0.0198024	2.50534e-05	0.163393	0.0428772	0.0106949	0.131902	0.0318998	0.0114129	0.041802	0.2247	0.00640297	0.0288037	0.06315	0.0161382	0.0376662	0.0103329	0.497787	0.499439	0.500482	0.502293	1	39794.17	1	28024.69	1	32447.03	0.00418177	0.426598	0.347182	0.222038	0.497356	0.499412	0.500654	0.502578	1	29615.77	2	0.999873	0.999968	1.00003	1.00013	0.9557601
210	-245.1438	-227.619	-17.52483	1e+08	0	0.155772	0.00897764	0.000538885	0.0834573	0.0270737	0.0440252	0.06213	0.0318972	0.0678106	0.00850757	0.313607	0.0230206	0.0627258	0.0987737	0.00931099	0.0333905	0.00536231	0.498242	0.49956	0.500347	0.501851	0	62000	18177.5	18177.5	1	42004.19	0.322821	0.050637	0.565143	0.061399	0.495517	0.49888	0.501117	0.504486	1	10041.35	3	0.999873	0.999968	1.00003	1.00013	1.036381
220	-278.5383	-231.5395	-46.99875	2954700	1	0.223148	0.0194879	0.00455106	0.0733029	0.100332	0.0233922	0.123489	0.0174565	0.0230065	0.00247828	0.185338	0.0493636	0.0157487	0.149501	0.00792152	0.0181251	0.00157342	0.493382	0.498343	0.501681	0.506593	1	4628.452	1	60934.69	1	25111.69	0.270054	0.0287675	0.536525	0.164654	0.498084	0.499612	0.500448	0.501857	1	56734.44	2	0.999261	0.999811	1.00019	1.00074	1.038217
230	-254.747	-226.9532	-27.79384	1e+08	0	0.193815	0.013457	0.00743469	0.0844932	0.00579722	0.049277	0.0525907	0.00627605	0.0277413	0.0154759	0.154581	0.0238544	0.0991416	0.1782	0.0158445	0.029279	0.00253451	0.494935	0.498714	0.501261	0.505091	1	7832.318	1	3287.911	1	59088.79	0.112775	0.494245	0.271591	0.121388	0.491984	0.497969	0.502034	0.508013	1	3144.022	3	0.999873	0.999968	1.00003	1.00013	0.9597939
240	-275.3133	-229.6291	-45.68423	4532070	1	0.0994722	0.0295719	0.0030507	0.0851422	0.00268119	0.0789485	0.110226	0.000772901	0.0664882	0.0262727	0.204567	0.0237982	0.0780958	0.0703897	0.0188342	0.00637657	0.00207688	0.4959	0.498959	0.501004	0.504138	1	11905.3	1	61280.2	1	32442.88	0.414748	0.266097	0.271814	0.0473406	0.496906	0.499233	0.500742	0.50312	1	20923.57	3	0.999403	0.999847	1.00015	1.0006	0.9067647
250	-254.004	-226.8409	-27.16309	1e+08	0	0.168943	0.0679381	0.0082692	0.0926037	0.0073105	0.0516052	0.0177848	0.00702728	0.0337598	0.0128133	0.14813	0.0225545	0.0520638	0.106541	0.0785574	0.0188683	0.00194858	0.497822	0.499527	0.500516	0.502134	1	43452.51	1	33325.9	1	6309.018	0.166121	0.163741	0.259107	0.41103	0.497552	0.499413	0.50057	0.502466	1	33452.48	3	0.999873	0.999968	1.00003	1.00013	0.8967181
260	-240.776	-224.439	-16.33696	1e+08	0	0.186023	0.0136576	0.0146221	0.133271	0.0062073	0.0234684	0.0535716	0.00324258	0.0518375	0.00411794	0.147325	0.0274712	0.0308514	0.106541	0.089846	0.0221556	0.00338399	0.498242	0.49956	0.500347	0.501851	0	62000	38179.75	38179.75	1	31526.88	0.210926	0.212819	0.504322	0.0719331	0.497762	0.499482	0.500517	0.502239	1	40314.48	3	0.999873	0.999968	1.00003	1.00013	0.9175939
270	-265.5219	-220.7371	-44.78474	4.520736e+07	1	0.137232	0.0186828	0.0138532	0.133556	0.00278651	0.021352	0.0394099	0.0152947	0.0569227	0.00888502	0.147325	0.0546259	0.0249924	0.0899737	0.0447888	0.00314675	0.00398879	0.496806	0.499257	0.500798	0.503139	1	20145.1	1	8392.795	1	58930.31	0.424941	0.0700153	0.0307247	0.474319	0.498126	0.499534	0.500385	0.501954	1	55129.36	3	0.999811	0.999952	1.00005	1.00019	0.8168159
280	-237.1076	-221.1877	-15.91985	1e+08	0	0.205794	0.0259863	0.0144217	0.177168	0.00879686	0.00611931	0.0460122	0.028997	0.034214	0.00453473	0.118731	0.0231714	0.0479476	0.0510953	0.0722709	0.00852519	0.00209702	0.498242	0.49956	0.500347	0.501851	0	62000	12586.46	12586.46	1	29876.4	0.281096	0.0740744	0.14963	0.4952	0.497254	0.499359	0.500667	0.50272	1	27042.37	3	0.999873	0.999968	1.00003	1.00013	0.8758824
290	-242.4787	-224.1386	-18.3401	1e+08	0	0.192133	0.0296508	0.00435234	0.17298	0.00418417	0.0363605	0.107842	0.0350147	0.0368857	0.00892659	0.165982	0.0223344	0.109911	0.153636	0.0207372	0.00849108	0.00848662	0.498242	0.49956	0.500347	0.501851	0	62000	60982.9	60982.9	1	38405.64	0.247559	0.330691	0.0429966	0.378753	0.49822	0.499554	0.500354	0.501872	1	60574.27	3	0.999873	0.999968	1.00003	1.00013	1.117908
