Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-6592899	-6592912	13.42549	0.021002	0.164102	0.100835	0.0172414	0.29049	0.383798	0.011047	0.00771066	0.0240545	0.0862875	0.0496632	0.0507004	0.0106023	0.0490884	0.119492	0.0186139	0.217526	0.0820624	0.0406853	0.0462271	0.0773554	0.0825124	0.201651	0.230739	0.0468086	0.133513	0.00253744	0.000270389	0.156821	0.43885	0	0.339986	0.204193	0	0.016971	0.43885	0.339986	0.204193	0.016971	0.184959	0.427218	0.357936	0.0298865	2.723437
10	-4109717	-4109744	26.87775	0.00821952	0.0231535	0.0507289	0.021202	0.094225	0.0823983	0.0168017	0.0230754	0.0493463	0.0206048	0.113511	0.0599538	0.104125	0.0373414	0.251525	0.0129953	0.0211519	0.0265046	0.0145042	0.0167147	0.0243203	0.00526466	0.058382	0.14664	0.00980217	0.0488488	0.00249235	0.000153665	0.0342234	0.296511	0	0.215205	0.252907	0	0.235378	0.296511	0.215205	0.252907	0.235378	0.291478	0.180365	0.209001	0.319156	1.378211
20	-3660009	-3660034	24.18419	0.00179242	0.00648197	0.0326477	0.00936913	0.094225	0.053374	0.0204801	0.0916946	0.0493463	0.00835515	0.165971	0.0547663	0.114355	0.0183676	0.652357	0.0130477	0.0058734	0.0265046	0.00704325	0.00834438	0.0132266	0.0041803	0.0099652	0.109856	0.0220741	0.0357536	0.00522336	0.000553183	0.0123378	0.292463	0	0.221768	0.243213	0	0.242556	0.292463	0.221768	0.243213	0.242556	0.280391	0.215753	0.220816	0.28304	1.647567
30	-3581589	-3581615	25.96762	0.00192627	0.00202089	0.0206648	0.00424009	0.097903	0.0341431	0.0112706	0.0916946	0.0512307	0.00835515	0.162896	0.0356282	0.0387695	0.0169225	0.652357	0.0164437	0.0058734	0.0265046	0.00599186	0.00268676	0.0129121	0.00695704	0.00533293	0.109856	0.0220741	0.00742559	0.0082491	0.00350348	0.00539184	0.271476	0	0.22577	0.240469	0	0.262285	0.271476	0.22577	0.240469	0.262285	0.280476	0.215818	0.220883	0.282822	1.469225
40	-3550550	-3550576	26.59656	0.00218428	0.00203427	0.020692	0.00466248	0.097903	0.0341431	0.0112706	0.0892422	0.0502531	0.00835515	0.161293	0.00710863	0.00822546	0.0169225	0.652357	0.0154021	0.00658345	0.0265046	0.00601438	0.000525471	0.0130704	0.00971635	0.00533293	0.109856	0.0200676	0.00742559	0.0082491	0.00559784	0.00533793	0.272552	0	0.228474	0.235649	0	0.263325	0.272552	0.228474	0.235649	0.263325	0.28072	0.215138	0.221074	0.283068	1.40633
50	-3547961	-3547988	26.72916	0.00218428	0.00194535	0.020692	0.00447139	0.097903	0.0343582	0.0112706	0.0892422	0.0500144	0.00864695	0.161293	0.00303215	0.00346369	0.0169225	0.648051	0.0154021	0.00678692	0.0265046	0.00601438	0.000128416	0.0130704	0.00971635	0.00521785	0.109856	0.0197422	0.00749467	0.0082491	0.0060586	0.00533793	0.271564	0	0.232334	0.228329	0	0.267773	0.271564	0.232334	0.228329	0.267773	0.28072	0.215138	0.221074	0.283068	1.39307
60	-3547649	-3547676	26.70618	0.00223103	0.00182416	0.020692	0.00447139	0.097903	0.0343582	0.0112706	0.0892422	0.0496531	0.0084712	0.161293	0.00366519	0.0017421	0.0179203	0.648051	0.0154021	0.00678692	0.0275418	0.00601438	3.68159e-05	0.0129772	0.00971635	0.00521785	0.112142	0.0196318	0.00749467	0.00822201	0.0060586	0.00533793	0.271564	0	0.232334	0.228329	0	0.267773	0.271564	0.232334	0.228329	0.267773	0.28072	0.215138	0.221074	0.283068	1.395369
70	-3547641	-3547667	26.71039	0.00213655	0.00182416	0.020692	0.00447139	0.097903	0.0343582	0.0112706	0.0892422	0.0496531	0.0084712	0.161293	0.00367189	0.0017421	0.0179203	0.648051	0.0154021	0.00664764	0.0275418	0.00602201	1.71063e-05	0.0129772	0.00971635	0.00521785	0.112142	0.0196318	0.00749467	0.00822201	0.00583539	0.00537921	0.271564	0	0.232334	0.228329	0	0.267773	0.271564	0.232334	0.228329	0.267773	0.282249	0.214681	0.220605	0.282466	1.394948
80	-3547637	-3547664	26.71216	0.00218947	0.00186415	0.020692	0.00447139	0.097903	0.0343582	0.0112706	0.0884441	0.0496531	0.0084712	0.161293	0.00367189	0.00187642	0.0179203	0.648051	0.0154021	0.00664764	0.0276862	0.0059852	4.81067e-05	0.0131197	0.00971635	0.00513115	0.112142	0.0196318	0.00749467	0.00822201	0.00603412	0.00537921	0.271382	0	0.232179	0.228844	0	0.267595	0.271382	0.232179	0.228844	0.267595	0.282249	0.214681	0.220605	0.282466	1.39477
90	-3547631	-3547657	26.69436	0.00216194	0.00186393	0.0211379	0.00472307	0.097903	0.0343582	0.0112706	0.0884441	0.0503901	0.0084712	0.161293	0.00385759	0.00187642	0.0179203	0.648051	0.0154021	0.00664764	0.0276862	0.0059852	2.11197e-05	0.0131197	0.00966464	0.00513115	0.112142	0.0196318	0.00775904	0.00834977	0.00585159	0.00543642	0.271382	0	0.232179	0.228844	0	0.267595	0.271382	0.232179	0.228844	0.267595	0.282249	0.214681	0.220605	0.282466	1.396551
