Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-6063737	-6063727	-10.12455	1	1	0.0274077	0.0195107	0.261432	0.398857	0.0999507	0.226435	0.167343	0.0170999	0.00273793	0.0520188	0.283782	0.0233591	0.0512246	0.00767637	0.0664922	0.0201278	0.0510544	0.169235	0.0163912	0.0535635	0.304431	0.0018314	0.0464215	0.0449899	0.00758106	0.260772	0.00580736	0.0047406	0.152146	0.0851467	0	0.350891	0.101906	0	0.462057	0.0851467	0.350891	0.101906	0.462057	1.616959	0.106571	0.181838	0.465362	0.246229	5	0.136954	0.476752	1	2.38629	2.844419
10	-4981011	-4981007	-3.379249	10.77727	1	0.017291	0.00668641	0.0910642	0.398857	0.0992947	0.207789	0.131956	0.0223793	0.00426667	0.0388638	0.245601	0.0741767	0.10478	0.02467	0.0998484	0.0304012	0.0274944	0.0503243	0.0163912	0.0354514	0.14326	0.00201147	0.0420189	0.0383465	0.00171231	0.227781	0.0035227	0.0165182	0.101688	0.285715	0	0.27868	0.186204	0	0.2494	0.285715	0.27868	0.186204	0.2494	0.2713867	0.256433	0.257785	0.231852	0.25393	5	0.643671	0.876487	1.07081	1.40904	2.304446
20	-4481148	-4481171	22.10513	1e+08	0	0.0127503	0.00460802	0.0706482	0.0636509	0.0992947	0.141439	0.0926012	0.0371907	0.00998896	0.0392042	0.245601	0.104394	0.10478	0.0147844	0.121033	0.013293	0.0170452	0.0238718	0.0150319	0.0136471	0.0691586	0.00257625	0.0420189	0.0181075	0.000944683	0.141532	0.00177171	0.0164304	0.0417267	0.24232	0	0.277869	0.231137	0	0.248674	0.24232	0.277869	0.231137	0.248674	0.4609041	0.276223	0.240812	0.212724	0.27024	5	0.999873	0.999968	1.00003	1.00013	1.579124
30	-3885266	-3885269	2.759987	1.183578e+07	1	0.0118984	0.0020041	0.0295773	0.0636509	0.107457	0.0516245	0.0471193	0.0763905	0.0152582	0.0138844	0.16574	0.0673692	0.10478	0.0178694	0.621323	0.013293	0.0132027	0.0174653	0.0150319	0.00707811	0.0110419	0.00287828	0.0211392	0.013892	0.000515662	0.0814622	0.000914043	0.0164304	0.041008	0.244798	0	0.235065	0.2335	0	0.286638	0.244798	0.235065	0.2335	0.286638	0.6636176	0.276223	0.240812	0.212724	0.27024	5	0.999631	0.999906	1.00009	1.00037	1.651299
40	-3719019	-3719039	20.13877	1e+08	0	0.00304584	0.00136099	0.0188776	0.0284262	0.107457	0.0484781	0.0206287	0.107713	0.0276091	0.0130115	0.16574	0.0463275	0.0608624	0.0178694	0.762509	0.0134511	0.0255378	0.0193426	0.0150319	0.00707811	0.00571625	0.00409848	0.0403836	0.0112405	0.000573764	0.0459433	0.0011376	0.00873337	0.0187665	0.250184	0	0.240237	0.216633	0	0.292945	0.250184	0.240237	0.216633	0.292945	1.748995	0.273423	0.237627	0.210568	0.278382	5	0.999873	0.999968	1.00003	1.00013	1.646952
50	-3612763	-3612767	3.818177	4.572464e+07	1	0.00206768	0.00219485	0.0194453	0.00640991	0.100781	0.0356852	0.015656	0.0849692	0.0414432	0.0082237	0.16574	0.0043652	0.0273947	0.0156351	0.719562	0.0155911	0.0202415	0.0286216	0.0150319	0.012457	0.0078887	0.00409848	0.0511687	0.00850208	0.00181386	0.0268596	0.00250075	0.00611731	0.0103739	0.259529	0	0.24921	0.224724	0	0.266537	0.259529	0.24921	0.224724	0.266537	1.510025	0.275145	0.237064	0.210069	0.277722	5	0.999812	0.999951	1.00005	1.00019	1.460839
60	-3578404	-3578409	4.18925	9.489358e+07	1	0.00206768	0.00193155	0.0194453	0.00511672	0.100781	0.0320736	0.0124274	0.0849692	0.0490646	0.0091249	0.163086	0.00346276	0.0122771	0.0155973	0.719562	0.0155911	0.0202415	0.0495935	0.0150319	0.011223	0.0078887	0.00496514	0.03929	0.0140661	0.00447567	0.00687529	0.0042327	0.00611731	0.00627717	0.270849	0	0.225227	0.230517	0	0.273407	0.270849	0.225227	0.230517	0.273407	1.37878	0.286923	0.206427	0.217038	0.289611	5	0.99987	0.999967	1.00003	1.00013	1.436857
70	-3562888	-3562912	23.30887	1e+08	0	0.00206768	0.00189814	0.0194453	0.00511672	0.0970166	0.0351917	0.0124274	0.0849692	0.0490646	0.00824574	0.163086	0.00354478	0.00670367	0.018528	0.663554	0.0155911	0.0202415	0.0741986	0.0144079	0.00987163	0.0078887	0.00496514	0.025909	0.0185994	0.00778549	0.00687529	0.00421116	0.00742137	0.00627717	0.270849	0	0.225227	0.230517	0	0.273407	0.270849	0.225227	0.230517	0.273407	1.097377	0.282335	0.207756	0.218435	0.291475	5	0.999873	0.999968	1.00003	1.00013	1.395103
80	-3550308	-3550313	5.142022	4.486362e+07	1	0.00206768	0.00189814	0.0194453	0.00511672	0.0970166	0.0351917	0.0124274	0.0849692	0.0490646	0.00824574	0.163086	0.00354478	0.0032086	0.0175015	0.663554	0.0158663	0.0184574	0.110681	0.0140849	0.00654534	0.008209	0.00523636	0.0141187	0.0255683	0.00775136	0.00617305	0.00528082	0.00725757	0.00675987	0.270849	0	0.225227	0.230517	0	0.273407	0.270849	0.225227	0.230517	0.273407	0.6112998	0.282335	0.207756	0.218435	0.291475	5	0.99981	0.999951	1.00005	1.00019	1.418327
90	-3548993	-3549017	24.18016	1e+08	0	0.00210463	0.00189814	0.020299	0.00457636	0.0970166	0.0339072	0.0124274	0.0849692	0.0490646	0.00824574	0.158624	0.0037846	0.0032086	0.0175015	0.637472	0.0158663	0.0184574	0.110681	0.0140849	0.00654534	0.008209	0.00523636	0.00782084	0.0255683	0.0073375	0.00597261	0.00492964	0.00725757	0.00675987	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.3788636	0.283639	0.208715	0.219444	0.288202	5	0.999873	0.999968	1.00003	1.00013	1.379825
