Iteration	Posterior	Likelihood	Prior	birth	clock_morpho	clock_nuclear	death	diversification	divtime_dirus	divtime_jackals	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
0	-6003684	-6002659	-1024.459	0.9628951	0.7169454	0.2510562	0.2105758	0.7523193	6.877325	6.877325	0.0856861	0	0.225985	0.144838	0	0.543491	0.0856861	0.225985	0.144838	0.543491	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143376	0.233351	0.0937309	0.529542	0.8068814	0.351776	25.20027	0.0117	0.012	4.9	1.8	0.0117	0.0117	0.3	0.781	0.0117	0.001	1.8	0.0117	0.3	0.2186902
100	-2614795	-2613832	-963.6961	0.5333066	6.584172	0.0479758	0.1806475	0.3526591	1.672106	1.672106	0.272471	0	0.228497	0.226961	0	0.272071	0.272471	0.228497	0.226961	0.272071	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282281	0.215701	0.216861	0.285157	0.6961042	0.2880636	27.27922	0.880352	3.14189	9.87553	4.39877	0.737386	0.996488	0.481641	2.05176	0.697264	3.02099	2.0869	2.418	1.78384	0.338731
200	-2603110	-2602147	-962.88	0.4572549	2.695926	0.04620774	0.009116214	0.4481387	1.784336	1.784336	0.270596	0	0.230291	0.226381	0	0.272732	0.270596	0.230291	0.226381	0.272732	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283851	0.216563	0.216512	0.283074	0.6264037	0.1255497	28.09366	0.236985	0.370377	10.2604	2.5885	4.24127	3.74806	0.751118	0.898629	0.449957	1.25326	3.53954	1.21729	1.02755	0.01993683
300	-2603079	-2602115	-963.6444	0.5582307	1.982802	0.04590926	0.311874	0.2463566	1.78545	1.78545	0.270845	0	0.230092	0.226757	0	0.272306	0.270845	0.230092	0.226757	0.272306	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284052	0.216717	0.215957	0.283274	0.6974441	0.2426969	22.01668	6.04892	4.26201	9.59749	6.70807	1.57164	3.75372	1.54505	2.4254	1.31517	2.80117	2.31712	1.98566	5.76298	0.5586831
400	-2603069	-2602106	-963.3033	0.4284373	1.574942	0.04616867	0.1322802	0.296157	1.780004	1.780004	0.272329	0	0.22887	0.226119	0	0.272682	0.272329	0.22887	0.226119	0.272682	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283982	0.216224	0.216939	0.282855	0.6682019	0.1598949	17.91276	5.63165	0.483599	8.58303	4.68557	4.0637	0.304706	1.73291	1.62077	0.976725	0.914304	3.04038	5.24514	7.82558	0.3087505
500	-2603073	-2602113	-960.4258	0.6502508	2.147485	0.0461106	0.2589621	0.3912887	1.780658	1.780658	0.271759	0	0.229557	0.227143	0	0.271541	0.271759	0.229557	0.227143	0.271541	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283069	0.216408	0.217332	0.283192	0.7764491	0.1721308	22.1412	4.18709	5.16411	6.22298	2.47807	2.61992	0.826918	0.342689	1.23695	0.13794	0.661957	3.6183	4.77643	1.66029	0.3982496
600	-2603069	-2602108	-960.8985	0.5411069	4.51032	0.04608522	0.1131647	0.4279422	1.785719	1.785719	0.27075	0	0.230194	0.227327	0	0.271728	0.27075	0.230194	0.227327	0.271728	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282849	0.217455	0.216723	0.282972	0.807763	0.154514	19.7791	0.795673	0.420889	4.92805	2.25201	4.74323	1.67378	0.440721	2.00596	0.127572	1.67753	4.32007	2.18987	0.620818	0.2091355
700	-2603063	-2602106	-957.4851	0.7648522	2.521003	0.04621331	0.2810722	0.48378	1.775246	1.775246	0.272854	0	0.228417	0.226265	0	0.272463	0.272854	0.228417	0.226265	0.272463	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283233	0.216331	0.216497	0.283939	0.6273205	0.1630227	21.6059	0.781728	0.625668	4.92805	3.83144	0.49305	0.254395	1.38132	0.84645	1.82306	0.0237147	4.7717	4.212	0.39678	0.3674856
800	-2603069	-2602102	-966.8084	0.7434485	7.725308	0.04613237	0.6411934	0.1022551	1.779008	1.779008	0.271269	0	0.229184	0.226417	0	0.27313	0.271269	0.229184	0.226417	0.27313	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283882	0.216641	0.216546	0.282931	0.8155821	0.2424014	13.00824	0.532652	2.71625	5.11443	5.67399	0.544593	0.438794	1.273	2.22606	1.3957	0.422569	3.94397	1.08756	0.877239	0.8624583
900	-2603075	-2602107	-968.006	0.4814459	2.341131	0.04618023	0.07377925	0.4076666	1.778998	1.778998	0.271721	0	0.228978	0.226109	0	0.273191	0.271721	0.228978	0.226109	0.273191	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283242	0.21634	0.216195	0.284223	0.6960632	0.1143626	20.44817	2.73764	2.86902	8.20277	3.67872	1.15711	3.53373	1.32861	2.08669	1.51621	0.480073	4.02434	0.591846	1.89974	0.1532452
