Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	pi_scale
0	-463.2	-474.376	11.17594	0.0102317	0.0212852	0.0563938	0.0291356	0.229909	0.00768788	0.207921	0.0715736	0.0537944	0.10876	0.0508042	0.162354	0.349664	0.0396939	4.83176e-05	0.0427968	0.0845422	0.0778695
10	-258.0291	-273.3203	15.29117	0.0220819	0.0182316	0.0714767	0.041702	0.0788496	0.0511456	0.0556176	0.0242075	0.0343648	0.0530179	0.102079	0.138772	0.321779	0.0138097	2.28413e-05	0.0119384	0.0582572	0.9852031
20	-237.7242	-253.5565	15.8323	0.0589468	0.0232895	0.0263215	0.0298798	0.04191	0.0434376	0.0217064	0.031216	0.0588137	0.0358788	0.0258122	0.0836957	0.355976	0.0496109	9.03843e-06	0.00365038	0.155439	0.96183
30	-218.4985	-233.1908	14.69237	0.108278	0.0142941	0.0118339	0.0576649	0.0412712	0.0230252	0.0440976	0.046304	0.105213	0.0591069	0.0540708	0.0812613	0.170105	0.105617	0.000132654	0.0036791	0.233744	0.9607308
40	-203.6994	-221.2004	17.50104	0.194212	0.0169586	0.0246711	0.0731885	0.0129794	0.00645609	0.0058877	0.0639793	0.0385053	0.0173191	0.0342947	0.111372	0.0986665	0.0607767	0.000676564	0.00304918	0.0971395	1.150704
50	-203.688	-219.947	16.25902	0.271344	0.012906	0.0180982	0.158114	0.0138726	0.00948066	0.00531724	0.0288965	0.0180215	0.0334205	0.005099	0.116033	0.10403	0.0773338	0.000968183	0.00167453	0.105284	1.19741
60	-210.9497	-224.446	13.4963	0.278409	0.0514588	0.0301361	0.106658	0.0110648	0.00495851	0.00324789	0.0238578	0.0440956	0.0749267	0.0138987	0.154058	0.218411	0.0508556	0.000965387	0.00129934	0.181295	1.267713
70	-212.0752	-226.0723	13.99717	0.315569	0.019354	0.0231548	0.0699407	0.00824639	0.0025471	0.00223645	0.0291821	0.0479816	0.061138	0.0320691	0.0847139	0.235596	0.0611296	0.000495479	0.00144374	0.192438	1.403218
80	-212.7905	-224.779	11.98851	0.308127	0.0107157	0.0405245	0.112614	0.0230348	0.00651051	0.00185404	0.0540325	0.100174	0.0435418	0.0348672	0.218823	0.20655	0.116716	0.000522905	0.00175359	0.0758403	1.782866
90	-215.3836	-228.0199	12.63631	0.155255	0.0126454	0.0390003	0.205975	0.0199599	0.00535165	0.000952905	0.0459743	0.053954	0.0558874	0.045526	0.130548	0.305862	0.192008	0.00122454	0.00653645	0.0514789	1.349375
