
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/avg_morpho_MCMC.Rev")
   Processing file "scripts/avg_morpho_MCMC.Rev"
   Processing file "scripts/avg_morpho_setup.Rev"
   Successfully read one character matrix from file '/home/petrucci/canid_tree/data/extant_morpho.nex'
   Processing of file "scripts/avg_morpho_setup.Rev" completed
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 102.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |       -390.136   |       -342.074   |       -48.0615   |              1   |              1   |              1   |              1   |   00:00:00   |   --:--:--   |
1000        |       -270.778   |       -224.273   |       -46.5049   |              1   |              1   |              1   |              2   |   00:03:49   |   --:--:--   |
2000        |       -266.958   |       -222.647   |       -44.3113   |              1   |              1   |              1   |              3   |   00:07:41   |   06:16:29   |
3000        |       -262.459   |       -227.077   |       -35.3817   |              1   |              0   |              1   |              3   |   00:11:33   |   06:13:27   |
4000        |       -269.089   |       -223.447   |       -45.6423   |              1   |              1   |              1   |              2   |   00:15:25   |   06:10:00   |
5000        |       -240.761   |       -224.384   |       -16.3775   |              0   |              0   |              1   |              3   |   00:19:16   |   06:06:04   |
6000        |       -270.898   |       -227.196   |       -43.7016   |              1   |              1   |              1   |              3   |   00:23:07   |   06:02:09   |
7000        |       -267.138   |       -223.356   |       -43.7828   |              1   |              1   |              1   |              2   |   00:26:59   |   05:58:29   |
8000        |       -249.581   |       -223.143   |       -26.4384   |              0   |              1   |              1   |              3   |   00:30:49   |   05:54:23   |
9000        |       -265.586   |        -230.08   |       -35.5066   |              1   |              0   |              1   |              2   |   00:34:40   |   05:50:31   |
10000       |       -240.705   |       -223.712   |       -16.9929   |              0   |              0   |              1   |              3   |   00:38:31   |   05:46:39   |
11000       |       -246.885   |        -229.56   |       -17.3257   |              0   |              0   |              1   |              3   |   00:42:23   |   05:42:55   |
12000       |       -241.157   |       -224.237   |       -16.9196   |              0   |              0   |              1   |              2   |   00:46:14   |   05:39:02   |
13000       |       -258.038   |       -223.542   |       -34.4958   |              1   |              0   |              1   |              3   |   00:50:06   |   05:35:17   |
14000       |       -272.069   |       -226.116   |       -45.9537   |              1   |              1   |              1   |              3   |   00:53:58   |   05:31:30   |
15000       |        -250.48   |       -234.094   |       -16.3866   |              0   |              0   |              1   |              2   |   00:57:50   |   05:27:43   |
