Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	0	-91.70598	-75.07587	-16.63011	1	1	0.0797565	0.0497614	0.106938	0.030065	0.376812	0.0748579	0.0346661	0.052411	0.0855966	0.119152	0.794417	0.0189478	0.0315692	0.0400356	0.017911	0.191947	0.0655288	0.125	0.375	0.625	0.875	1	1	1	0.1238983	1	0.1653335	0.433062	0.155634	0.37278	0.0385239	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	2.170373
1	1	-92.89319	-72.27414	-20.61905	1	1	0.00210091	0.0536262	0.00430312	0.163335	0.0102503	0.231503	0.101473	0.133175	0.0712597	0.167322	0.435521	0.225944	0.0200525	0.220863	0.0312876	0.0407222	0.176365	0.125	0.375	0.625	0.875	1	1	1	1.620395	1	3.470461	0.0507356	0.630457	0.291336	0.0274719	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	2.089105
2	0	-89.92563	-73.99786	-15.92777	0.4539754	1	0.0797565	0.0493518	0.158939	0.030065	0.376812	0.0522606	0.0529676	0.052411	0.0562302	0.119152	0.794417	0.0189478	0.0379017	0.0400356	0.0112591	0.191947	0.163109	0.498242	0.49956	0.500347	0.501851	0	62000	0.01632821	0.01632821	1	0.1127861	0.230504	0.273555	0.423218	0.0727226	0.0318269	0.287557	0.712443	0.968173	1	0.3976697	1	0.0252085	0.220812	0.783659	2.97032	2.285564
3	1	-90.35386	-69.71715	-20.63671	0.3249046	1	0.00434002	0.0467535	0.00550558	0.156201	0.0102503	0.267708	0.0982536	0.172228	0.128408	0.167322	0.435521	0.202501	0.0326803	0.195883	0.0312876	0.0461847	0.176365	0.498242	0.49956	0.500347	0.501851	0	62000	0.7012157	0.7012157	1	1.558832	0.439422	0.467872	0.00861331	0.0840924	0.325288	0.453337	0.546664	0.674711	1	6.24037	1	0.00753151	0.123956	0.635351	3.23316	2.177393
4	0	-83.31413	-69.98211	-13.33202	0.3136571	1	0.140153	0.0493518	0.0893294	0.030065	0.259788	0.0624132	0.0495146	0.0541613	0.0920118	0.161303	0.584011	0.0189478	0.0226162	0.0495494	0.0112591	0.196359	0.163109	0.498242	0.49956	0.500347	0.501851	0	62000	0.0506748	0.0506748	0.4648606	0.4648606	0.385077	0.333069	0.19331	0.088544	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.00646837	0.115153	0.618041	3.26034	2.033943
5	1	-90.63158	-70.64184	-19.98974	0.4676865	1	0.00424923	0.0467535	0.00550558	0.276891	0.00747364	0.267708	0.0523322	0.172228	0.118256	0.178911	0.435521	0.119928	0.0811046	0.195883	0.0312876	0.068111	0.176365	0.498242	0.49956	0.500347	0.501851	0	62000	1.194405	1.194405	1	0.448714	0.117135	0.670025	0.00647751	0.206362	0.300147	0.445821	0.554178	0.699854	1	4.676248	1	0.0275665	0.230298	0.795254	2.94688	2.238507
6	0	-82.3548	-69.97934	-12.37546	0.7432455	1	0.120586	0.0522458	0.0893294	0.0276215	0.259788	0.0624132	0.0461558	0.0541613	0.120909	0.133823	0.288986	0.0133984	0.0226162	0.0421527	0.00909825	0.196359	0.159826	0.498242	0.49956	0.500347	0.501851	0	62000	0.05467444	0.05467444	1	2.459075	0.344012	0.470453	0.103337	0.082198	0.00934312	0.229248	0.770752	0.990657	1	0.2520689	1	0.0834392	0.38324	0.939897	2.59342	1.69947
7	1	-84.38802	-67.96508	-16.42293	0.3983765	1	0.00424923	0.033875	0.00550558	0.276891	0.00935537	0.314287	0.0523322	0.130038	0.118256	0.328417	0.262621	0.0682538	0.0512421	0.195883	0.0448039	0.104384	0.176365	0.498242	0.49956	0.500347	0.501851	0	62000	1.733996	1.733996	0.444279	0.444279	0.522478	0.32087	0.00227186	0.15438	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.0164809	0.180542	0.729518	3.07346	2.17676
8	0	-91.82202	-74.87605	-16.94597	3.113019e+07	1	0.120586	0.0381051	0.0893294	0.0276215	0.259788	0.0624132	0.0393693	0.0806981	0.120909	0.133823	0.349698	0.0133984	0.0226162	0.0406094	0.00909825	0.182444	0.159826	0.268343	0.435757	0.564243	0.731658	1	3.376905	1	0.2830445	1	3.225185	0.497137	0.271309	0.108733	0.122821	0.0605927	0.325667	0.674333	0.939407	1	0.5617483	1	0.999772	0.999942	1.00006	1.00023	1.750333
9	1	-83.2317	-68.052	-15.17971	1.020772	1	0.00424923	0.033875	0.00353955	0.395533	0.00935537	0.314287	0.0696321	0.192629	0.102315	0.259026	0.208992	0.0555214	0.0494027	0.159055	0.0318417	0.104384	0.176365	0.498242	0.49956	0.500347	0.501851	0	62000	0.7267186	0.7267186	0.2759001	0.2759001	0.246616	0.632399	0.0304764	0.0905079	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.14108	0.482907	1.00336	2.37265	2.170003
10	0	-69.00414	-73.65876	4.654622	1e+08	0	0.120586	0.0381051	0.0349843	0.0341374	0.176336	0.0624132	0.0259032	0.0806981	0.098152	0.111682	0.235072	0.0133984	0.0226162	0.0360434	0.012021	0.190103	0.251936	2.14154e-06	0.0836046	0.916395	0.999998	1	0.06797055	1	1.083964	1	1.972654	0.0402661	0.738259	0.178053	0.0434213	0.196316	0.40953	0.59047	0.803684	1	1.783999	1	0.999873	0.999968	1.00003	1.00013	1.544186
11	1	-69.40897	-67.52886	-1.88011	1e+08	0	0.00424923	0.033875	0.00305177	0.395533	0.0156628	0.292649	0.047868	0.117827	0.102315	0.259026	0.265336	0.0518678	0.0467591	0.188494	0.0318417	0.155133	0.176365	0.279562	0.439387	0.560613	0.720438	1	3.772072	1	2.10375	1	0.1328706	0.215805	0.100641	0.0151672	0.668387	0.0668749	0.331981	0.668019	0.933125	1	0.5986825	1	0.999873	0.999968	1.00003	1.00013	2.187854
12	0	-90.01479	-75.95374	-14.06105	6530249	1	0.120586	0.0623636	0.0349843	0.0225121	0.176336	0.0480886	0.0518488	0.0640763	0.0909388	0.102287	0.235072	0.0133984	0.034032	0.0551724	0.0117856	0.190103	0.251936	0.224702	0.420575	0.579426	0.775298	1	2.267559	1	0.9326381	1	0.4169095	0.0162357	0.872302	0.0521413	0.0593211	0.244875	0.427824	0.572176	0.755126	1	2.710959	1	0.999503	0.999873	1.00013	1.0005	1.56552
13	1	-65.53917	-66.88843	1.34926	1e+08	0	0.00293293	0.023394	0.00305177	0.395533	0.0293189	0.292649	0.047868	0.0773158	0.102315	0.384524	0.177427	0.0719114	0.0355808	0.233421	0.0210901	0.155133	0.127593	0.498242	0.49956	0.500347	0.501851	0	62000	1.297951	1.297951	1	0.112659	0.51486	0.171213	0.0399989	0.273928	0.157999	0.392509	0.607491	0.842001	1	1.306353	1	0.999873	0.999968	1.00003	1.00013	2.18106
14	0	-91.03081	-75.90539	-15.12542	9.019596e+07	1	0.118394	0.0396187	0.0349843	0.0223097	0.176336	0.0480886	0.0483588	0.0919065	0.0893162	0.105884	0.151411	0.0174143	0.034032	0.0430682	0.0224275	0.253763	0.185987	0.266454	0.435135	0.564864	0.733547	1	3.315859	1	1.961297	1	0.182321	0.284667	0.326329	0.184775	0.204229	0.270462	0.43645	0.56355	0.729537	1	3.447194	1	0.999866	0.999966	1.00003	1.00013	1.483298
15	1	-67.22302	-66.64863	-0.5743852	1e+08	0	0.00332404	0.023394	0.00305177	0.253781	0.0645812	0.430607	0.062084	0.0820371	0.144082	0.384524	0.177427	0.0719114	0.0401901	0.316457	0.0114477	0.196284	0.127593	0.498242	0.49956	0.500347	0.501851	0	62000	2.450568	2.450568	0.1396635	0.1396635	0.258538	0.524049	0.0472154	0.170198	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	2.392778
