Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-121.0583	-72.27503	-48.78324	1	1	0.00979632	0.0129469	0.00921428	0.15193	0.0964154	0.0931926	0.00256598	0.119105	0.0804991	0.0345795	0.225134	0.0413963	0.0297985	0.0329107	0.0798875	0.0613703	0.13592	0.125	0.375	0.625	0.875	1	1	1	14515.98	1	47330.8	0.0773985	0.0158907	0.236885	0.669826	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	1.216663
10	-86.38675	-69.57642	-16.81032	1e+08	0	0.0100158	0.013663	0.00449562	0.219548	0.0421508	0.0496507	0.00457823	0.0563722	0.054701	0.0465654	0.0266361	0.16612	0.0108275	0.0223604	0.0551807	0.122353	0.05971	0.498183	0.499591	0.500391	0.501834	1	60614.54	1	6482.015	37519.07	37519.07	0.17529	0.204217	0.508247	0.112246	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	0.9649277
20	-97.26753	-61.74814	-35.51938	7.515471e+07	1	0.018275	0.0273592	0.00237678	0.122869	0.0631576	0.181249	0.00286727	0.0532167	0.0413346	0.0560053	0.0473142	0.0862871	0.0197456	0.0323561	0.0695448	0.111036	0.0587717	0.49759	0.499438	0.500568	0.502405	1	34841.88	1	59331.32	48541.27	48541.27	0.0154557	0.0657808	0.440202	0.478561	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999853	0.999963	1.00004	1.00015	0.9937658
30	-79.00469	-66.86083	-12.14386	1e+08	0	0.0362432	0.0356922	0.00103969	0.154141	0.266548	0.24635	0.00145197	0.0398627	0.0591822	0.169781	0.0467083	0.035791	0.01361	0.0777954	0.147599	0.219118	0.0508558	0.498242	0.49956	0.500347	0.501851	0	62000	29589.77	29589.77	33261.39	33261.39	0.0591633	0.30255	0.0911066	0.54718	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.60177
40	-106.3763	-65.44201	-40.93434	5.680336e+07	1	0.0471033	0.054438	0.00052715	0.367461	0.0711905	0.194312	0.000393922	0.0188728	0.029348	0.125149	0.0835672	0.0625824	0.0299853	0.135238	0.105399	0.140178	0.0695139	0.497811	0.499455	0.500481	0.502254	1	40913.95	1	20995.33	28930.61	28930.61	0.370843	0.0118283	0.228671	0.388658	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999831	0.999957	1.00004	1.00017	1.535261
50	-88.19321	-58.75756	-29.43564	1.046972e+07	1	0.103404	0.0673263	0.000361487	0.0763179	0.274197	0.172648	0.000179159	0.0109676	0.0191229	0.300081	0.0736897	0.0983146	0.0103264	0.0679438	0.0575074	0.136389	0.0201035	0.498242	0.49956	0.500347	0.501851	0	62000	44924.74	44924.74	29660.35	29660.35	0.525225	0.068105	0.00533823	0.401332	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999607	0.9999	1.0001	1.00039	1.48888
60	-79.74671	-57.85094	-21.89577	1e+08	0	0.228863	0.0588147	0.000692862	0.0874074	0.178667	0.0618331	0.000826182	0.0145611	0.0252001	0.0868504	0.0603099	0.137939	0.00485098	0.0785481	0.0346024	0.347873	0.0656326	0.498242	0.49956	0.500347	0.501851	0	62000	25257.6	25257.6	1	27200.97	0.194376	0.193751	0.0174342	0.594439	0.496819	0.499248	0.500788	0.503145	1	20184.24	1	0.999873	0.999968	1.00003	1.00013	1.473472
70	-113.0894	-58.17662	-54.9128	3.332959e+07	1	0.278569	0.0648925	0.000561029	0.0871728	0.044258	0.0482341	0.000240565	0.0308777	0.0409305	0.204648	0.0428766	0.200979	0.00434561	0.0893867	0.0750701	0.275343	0.341234	0.495257	0.4988	0.501177	0.504765	1	8936.176	1	57232.06	1	35858.39	0.152125	0.0328875	0.140886	0.674101	0.497262	0.499305	0.500632	0.502801	1	26339.35	1	0.99978	0.999944	1.00006	1.00022	1.829619
80	-107.8411	-56.07564	-51.76544	1.300196e+07	1	0.357072	0.0368659	0.000506474	0.0693969	0.0145548	0.0507302	0.000249218	0.0438361	0.0180493	0.170523	0.066014	0.140624	0.00398513	0.133553	0.0236323	0.107624	0.277665	0.497813	0.49951	0.500511	0.502166	1	42646.63	1	10266.27	1	21123.97	0.561309	0.0227465	0.138691	0.277253	0.497924	0.499571	0.500496	0.502008	1	48426.91	1	0.999647	0.99991	1.00009	1.00035	1.514883
90	-96.75698	-58.01051	-38.74648	4.45307e+07	1	0.333841	0.020901	0.000314935	0.176252	0.0116701	0.071073	0.000525124	0.0183848	0.0326426	0.153373	0.0202693	0.0740423	0.00648816	0.0792217	0.0207751	0.061438	0.235263	0.49394	0.498478	0.501532	0.50605	1	5507.86	1	41339.93	18111.91	18111.91	0.0860023	0.0770839	0.456207	0.380707	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999809	0.999951	1.00005	1.00019	1.316475
