Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
0	-6191037	-6191036	-1.403916	1	1	0.00265052	0.126552	0.18179	0.20393	0.0369527	0.0930735	0.0370477	0.143945	0.0542162	0.0734919	0.363189	0.0125479	0.0584867	0.174464	0.0721781	0.0244429	0.0165808	0.0044268	0.36833	0.0431561	0.0150029	0.552237	0.0168472	1.767346	0.5	1	0.104216	0.74027	0.059509	0.0960048	5	0.136954	0.476752	1	2.38629	0.2052474	0.56121	0.0609573	0.653347	0.00878507	0.205247	1.675539
10	-2950763	-2950787	23.46261	1e+08	0	0.00324432	0.0395624	0.105506	0.138233	0.0174239	0.137237	0.0459315	0.160847	0.173449	0.0734919	0.263915	0.0169644	0.0280746	0.0688639	0.010098	0.0244429	0.00884311	0.189128	0.164349	0.115155	0.118644	0.242861	0.169863	0.03280939	0	0	0.346302	0.0976469	0.17019	0.385861	2	0.999873	0.999968	1.00003	1.00013	0.777758	0.31441	0.0343971	0.177048	0.0088546	0.777758	1.316128
20	-2683696	-2683709	13.3343	7.256448e+07	1	0.00859483	0.0140708	0.0573998	0.124353	0.00675654	0.0992718	0.0385161	0.123	0.33509	0.0180226	0.115975	0.00544268	0.0056824	0.0229664	0.00314707	0.0105661	0.00444762	0.35043	0.149422	0.0135787	0.206932	0.177156	0.102483	0.0001553332	0	0	0.2259	0.457348	0.0395341	0.277218	2	0.999851	0.999962	1.00004	1.00015	0.9739942	0.172198	0.045244	0.00608501	0.00186459	0.973994	0.9933028
30	-2563381	-2563392	10.8449	6.580514e+07	1	0.0129428	0.0140708	0.0111497	0.104398	0.00213019	0.0992718	0.040927	0.122101	0.707821	0.00801634	0.0291136	0.00223888	0.00527674	0.0321178	0.00485518	0.0119903	0.00284791	0.254984	0.0426652	0.423814	0.00551303	0.130861	0.142162	7.391306e-06	0	0	0.405989	0.224553	0.145987	0.223471	2	0.999843	0.99996	1.00004	1.00016	0.9215201	0.962431	0.0797563	0.00101698	0.00163162	0.92152	1.211269
40	-2556247	-2556274	26.72196	1e+08	0	0.0120136	0.0140708	0.00435229	0.115777	0.00227042	0.0992718	0.040927	0.122101	0.792427	0.0052671	0.00877831	0.00307883	0.00509223	0.0321178	0.00485518	0.0138568	0.00270657	0.0704536	0.252039	0.0588147	0.17776	0.114918	0.326014	6.102436e-06	0	0	0.427716	0.163702	0.223165	0.185417	2	0.999873	0.999968	1.00003	1.00013	0.9215201	0.0307788	0.211882	0.00624321	0.0202301	0.92152	1.278964
50	-2555983	-2555985	1.054014	8.18575e+07	1	0.0130544	0.0140708	0.00444033	0.112986	0.00227611	0.0992718	0.0436574	0.122101	0.792427	0.00407932	0.00907697	0.00359217	0.00509223	0.0321178	0.0046241	0.0170403	0.00287826	0.0548555	0.0666719	0.606295	0.0413156	0.0562149	0.174648	4.630513e-06	0	0	0.218333	0.00199031	0.672806	0.106871	2	0.99986	0.999964	1.00004	1.00014	0.9215201	0.0287463	0.304254	0.592636	0.21478	0.92152	1.282786
60	-2555940	-2555962	22.62389	1e+08	0	0.0130456	0.0140708	0.00444033	0.109844	0.00214287	0.0992718	0.0437831	0.122101	0.792427	0.00368331	0.00907697	0.00359217	0.00509223	0.0321178	0.0046241	0.0151323	0.00297331	0.0279922	0.0157977	0.386115	0.00434038	0.535625	0.0301297	3.040771e-07	0	0	0.00257865	0.00705665	0.495011	0.495354	2	0.999873	0.999968	1.00003	1.00013	0.9215201	0.0628407	0.154095	0.497177	0.0104639	0.92152	1.277419
70	-2555891	-2555911	19.69804	1e+08	0	0.0130456	0.0135894	0.00444033	0.109844	0.00225534	0.103874	0.0437831	0.126166	0.792427	0.00361491	0.00907697	0.00381595	0.00509223	0.0321178	0.00470314	0.0161155	0.00278613	0.067031	0.035849	0.598916	0.0909354	0.163949	0.0433203	2.181623e-07	0	0	0.201033	0.203458	0.470121	0.125389	2	0.999873	0.999968	1.00003	1.00013	0.9162104	0.0382285	0.613684	0.503595	0.0728613	0.91621	1.286747
80	-2555894	-2555896	2.081952	7.638157e+07	1	0.0130456	0.0135894	0.00444033	0.111704	0.00217698	0.104045	0.0437831	0.125779	0.792427	0.00361491	0.00893675	0.00394859	0.00466303	0.0321178	0.00470314	0.0161146	0.00287424	0.0130702	0.0638314	0.0374769	0.00804591	0.448988	0.428587	8.232337e-07	0	0	0.0609067	0.851288	0.0208904	0.0669148	2	0.999855	0.999964	1.00004	1.00015	0.9162104	0.17511	0.121427	0.393632	0.0454444	0.91621	1.287964
90	-2555871	-2555892	21.13725	1e+08	0	0.0134225	0.0135894	0.00444033	0.111704	0.00223333	0.104045	0.0437814	0.125779	0.792427	0.00361491	0.00878494	0.00386431	0.00466303	0.0321178	0.00489558	0.0161146	0.00287424	0.206682	0.0260069	0.0596619	0.14172	0.0956648	0.470264	2.855982e-06	0	0	0.184498	0.0615715	0.163632	0.590299	2	0.999873	0.999968	1.00003	1.00013	0.9162104	0.0208193	0.0954246	0.364829	0.277131	0.91621	1.288352
